lsp_country,Decade,rocket,family,rock_agency,location,lat,lon,result,failreason,date,lsp_name,year
CHN,1970's,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
CHN,1980's,,,,,,,,,,,
CHN,1990's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHN,2000's,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
CHN,2010's,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
FRA,1970's,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
FRA,1980's,,,,,,,,,,,
FRA,1990's,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
FRA,2000's,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
FRA,2010's,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
"FRA, RUS",1970's,,,,,,,,,,,
"FRA, RUS",1980's,,,,,,,,,,,
"FRA, RUS",1990's,,,,,,,,,,,
"FRA, RUS",2000's,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"FRA, RUS",2010's,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
IND,1970's,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
IND,1980's,,,,,,,,,,,
IND,1990's,,,,,,,,,,,
IND,2000's,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
IND,2010's,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
IRN,1970's,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRN,1980's,,,,,,,,,,,
IRN,1990's,,,,,,,,,,,
IRN,2000's,,,,,,,,,,,
IRN,2010's,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ISR,1970's,,,,,,,,,,,
ISR,1980's,,,,,,,,,,,
ISR,1990's,,,,,,,,,,,
ISR,2000's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISR,2010's,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
JPN,1970's,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
JPN,1980's,,,,,,,,,,,
JPN,1990's,,,,,,,,,,,
JPN,2000's,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
JPN,2010's,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
KOR,1970's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KOR,1980's,,,,,,,,,,,
KOR,1990's,,,,,,,,,,,
KOR,2000's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KOR,2010's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NA,1970's,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NA,1980's,,,,,,,,,,,
NA,1990's,,,,,,,,,,,
NA,2000's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NA,2010's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NZL,1970's,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NZL,1980's,,,,,,,,,,,
NZL,1990's,,,,,,,,,,,
NZL,2000's,,,,,,,,,,,
NZL,2010's,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PRK,1970's,,,,,,,,,,,
PRK,1980's,,,,,,,,,,,
PRK,1990's,,,,,,,,,,,
PRK,2000's,,,,,,,,,,,
PRK,2010's,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
RUS,1970's,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
RUS,1980's,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
RUS,1990's,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
RUS,2000's,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
RUS,2010's,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0
USA,1970's,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
USA,1980's,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
USA,1990's,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
USA,2000's,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
USA,2010's,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0
